sleep_hours,sleep_time_hour,meals_count,junk_food_count,stress_level,work_hours,exercise_minutes,water_intake,mood_score,screen_time_hrs,caffeine_cups,burnout_risk,stress_overload,sleep_deprived,poor_habits,skipping_meals,late_sleep,health_score
4.1,22,2,3,8,11.0,39.0,1.5,8,5.1,1,0,0,1,1,0,0,54.6
5.4,23,4,2,8,5.8,43.0,1.3,7,4.0,2,0,0,1,0,0,0,70.6
6.4,22,3,0,6,11.0,27.0,0.5,4,9.7,3,0,0,0,1,0,0,86.6
4.5,2,3,3,3,6.7,18.0,1.3,9,5.9,3,0,0,1,1,0,1,67.2
6.8,23,2,2,5,13.9,32.0,1.4,9,3.7,2,0,0,0,0,0,0,83.4
5.3,3,3,3,2,12.6,0.0,1.9,8,6.4,3,0,0,1,1,0,1,69.9
5.8,23,4,3,5,8.2,23.0,3.2,1,4.7,4,0,0,1,1,0,0,79.0
5.3,22,3,3,9,6.1,0.0,1.4,7,5.2,4,0,0,1,1,0,0,55.9
9.0,1,1,2,10,5.6,0.0,1.1,5,6.6,2,0,0,0,1,1,1,55.9
6.2,1,3,0,1,10.7,0.0,1.3,7,9.0,1,0,0,0,0,0,1,84.9
4.6,0,1,2,10,8.4,51.0,1.9,9,6.2,4,0,0,1,1,1,1,52.2
7.4,0,2,2,5,10.8,28.0,2.2,2,4.6,0,0,0,0,0,0,1,86.5
4.4,1,1,3,6,14.0,0.0,2.3,4,5.0,3,0,0,1,1,1,1,51.9
6.5,23,3,0,7,6.6,39.0,2.4,4,7.3,1,0,0,0,0,0,0,91.0
3.3,3,3,0,9,5.4,50.0,2.5,2,2.1,2,0,1,1,0,0,1,57.8
4.2,3,1,4,6,9.0,39.0,1.6,3,3.9,2,0,0,1,1,1,1,52.6
6.5,1,2,3,5,11.4,24.0,3.2,8,6.4,1,0,0,0,1,0,1,78.5
7.3,22,3,4,7,6.1,33.0,1.6,9,2.6,4,0,0,0,1,0,0,76.4
6.5,1,2,3,1,8.6,48.0,1.9,6,5.4,0,0,0,0,1,0,1,79.6
6.0,22,1,2,5,11.9,18.0,2.7,10,5.0,4,0,0,0,1,1,0,73.0
5.7,21,2,2,2,4.4,29.0,2.2,2,7.8,4,0,0,1,0,0,0,79.0
4.0,23,3,4,4,9.1,22.0,0.3,2,5.5,1,0,0,1,1,0,0,57.2
5.1,0,1,2,7,7.1,0.0,1.8,7,8.4,3,0,0,1,1,1,1,56.3
5.5,2,1,2,5,8.8,48.0,2.4,8,6.2,1,0,0,1,1,1,1,73.0
7.8,1,2,0,6,10.3,73.0,0.9,8,9.6,3,0,0,0,1,0,1,87.6
6.7,1,4,2,2,9.1,9.0,2.3,6,3.2,2,0,0,0,0,0,1,85.0
3.6,23,3,3,3,6.0,49.0,2.1,10,9.2,1,0,0,1,1,0,0,67.6
6.7,23,3,1,7,7.2,9.0,2.6,8,5.2,2,0,0,0,0,0,0,83.0
5.6,23,2,1,2,12.1,31.0,1.3,1,8.9,3,0,0,1,0,0,0,79.8
5.2,3,3,1,6,9.3,61.0,2.5,9,8.4,4,0,0,1,0,0,1,82.2
7.1,21,1,1,5,10.6,17.0,1.9,1,1.0,1,0,0,0,1,1,0,82.4
7.7,2,3,1,10,9.1,28.0,3.0,3,7.0,2,0,0,0,0,0,1,80.5
7.6,0,4,1,1,10.5,0.0,3.8,9,8.0,1,0,0,0,0,0,1,88.5
4.9,23,3,4,10,7.5,13.0,2.9,5,8.7,3,0,0,1,1,0,0,52.2
5.7,1,4,2,4,6.6,0.0,2.1,9,3.6,0,0,0,1,0,0,1,76.7
6.7,0,3,0,2,10.4,37.0,3.4,9,7.2,3,0,0,0,0,0,1,98.2
7.7,2,1,0,4,11.3,46.0,2.2,6,6.4,1,0,0,0,1,1,1,90.0
5.5,2,4,2,1,6.2,23.0,1.2,1,6.9,2,0,0,1,0,0,1,78.0
5.9,23,1,1,2,7.1,34.0,1.8,10,8.0,3,0,0,1,1,1,0,78.6
4.5,23,3,3,8,8.1,21.0,2.3,7,8.3,3,0,0,1,1,0,0,61.8
4.4,0,1,2,6,12.5,44.0,2.4,6,4.7,3,0,0,1,1,1,1,63.4
7.4,2,1,3,2,9.9,31.0,1.0,9,6.5,2,0,0,0,1,1,1,74.0
8.2,23,2,1,6,5.2,0.0,1.0,7,6.1,4,0,0,0,1,0,0,76.5
6.1,0,2,2,10,8.3,49.0,1.6,4,5.5,2,0,1,0,0,0,1,57.0
7.7,0,3,1,9,7.9,19.0,2.2,7,5.7,4,0,0,0,0,0,1,81.2
6.7,1,3,4,7,5.6,0.0,2.3,2,6.4,2,0,0,0,1,0,1,68.7
5.2,22,1,2,9,8.2,18.0,1.9,6,4.8,2,0,0,1,1,1,0,55.8
6.7,1,1,1,5,7.8,0.0,1.2,6,7.8,1,0,0,0,1,1,1,73.5
8.5,2,3,1,7,7.6,1.0,3.0,2,8.5,2,0,0,0,0,0,1,82.8
6.1,22,2,0,7,7.5,31.0,1.0,4,4.4,1,0,0,0,1,0,0,79.6
8.5,23,3,2,3,12.2,33.0,2.7,8,8.6,4,0,0,0,0,0,0,92.0
2.3,3,3,1,7,7.6,35.0,2.3,8,4.4,3,0,0,1,0,0,1,61.8
7.4,22,3,2,1,8.6,28.0,2.7,8,7.8,5,0,0,0,0,0,0,91.5
6.3,2,3,1,9,8.4,13.0,1.5,8,8.6,0,0,0,0,0,0,1,73.6
5.8,0,2,2,10,7.2,27.0,1.7,1,5.8,1,0,1,1,0,0,1,54.8
6.3,23,3,3,6,8.7,18.0,1.8,2,4.4,4,0,0,0,1,0,0,77.0
3.2,2,2,3,5,8.7,0.0,1.5,4,4.8,2,0,0,1,1,0,1,50.7
5.9,23,2,3,7,8.7,11.0,2.0,9,6.7,2,0,0,1,1,0,0,65.6
6.7,0,3,0,5,6.4,48.0,2.9,3,9.9,4,0,0,0,0,0,1,98.2
8.4,23,2,0,10,8.0,63.0,0.9,6,2.6,2,0,0,0,1,0,0,75.6
5.4,0,3,2,5,10.4,42.0,1.3,7,6.2,1,0,0,1,0,0,1,79.6
5.0,22,3,1,10,8.1,62.0,1.3,8,5.8,4,0,0,1,0,0,0,66.2
5.4,23,4,1,7,8.9,30.0,1.7,7,5.1,0,0,0,1,0,0,0,79.2
7.6,3,4,0,10,8.9,66.0,1.7,3,5.8,4,0,0,0,0,0,1,83.8
6.7,23,2,1,7,9.5,73.0,2.3,6,4.9,0,0,0,0,0,0,0,83.2
5.4,1,2,0,3,9.9,0.0,1.8,5,8.5,3,0,0,1,0,0,1,77.1
7.0,23,3,4,3,8.1,33.0,2.0,10,8.7,0,0,0,0,1,0,0,84.0
6.3,1,2,1,10,6.2,30.0,2.1,4,6.2,3,0,1,0,0,0,1,63.8
7.7,22,3,2,3,5.5,19.0,2.0,1,5.7,0,0,0,0,0,0,0,89.2
5.1,3,3,0,6,11.0,39.0,2.3,7,5.0,3,0,0,1,0,0,1,85.6
5.7,0,3,2,6,10.4,29.0,1.7,8,6.2,2,0,0,1,0,0,1,79.8
5.6,23,2,1,3,10.1,12.0,3.0,2,9.7,0,0,0,1,0,0,0,78.1
4.0,22,2,4,3,10.5,27.0,3.6,7,5.8,3,0,0,1,1,0,0,60.2
6.6,22,2,4,8,8.1,55.0,2.3,6,4.3,2,0,0,0,1,0,0,67.6
6.6,0,1,1,8,6.9,32.0,2.0,5,5.2,1,0,0,0,1,1,1,74.6
6.2,23,4,4,7,6.0,42.0,2.2,4,7.5,0,0,0,0,1,0,0,73.2
5.8,2,2,5,10,5.8,22.0,1.0,2,4.6,2,0,1,1,1,0,1,38.8
4.1,23,2,3,4,11.5,38.0,1.9,10,5.9,0,0,0,1,1,0,0,65.2
5.6,23,1,3,4,7.3,1.0,1.3,6,6.9,0,0,0,1,1,1,0,59.6
5.7,0,3,1,3,11.1,17.0,2.2,5,4.7,1,0,0,1,0,0,1,85.0
5.0,1,3,2,5,8.0,26.0,1.3,2,2.5,2,0,0,1,0,0,1,76.2
6.0,22,2,0,3,6.8,0.0,1.6,10,3.9,2,0,0,0,0,0,0,79.9
6.8,22,1,0,8,5.8,10.0,0.5,7,4.3,0,0,0,0,1,1,0,68.8
9.0,21,2,5,7,7.0,35.0,1.0,6,5.5,5,0,0,0,1,0,0,65.0
6.5,1,2,1,3,12.0,31.0,2.0,9,6.1,4,0,0,0,0,0,1,88.0
6.6,1,3,3,9,5.8,46.0,1.2,10,7.6,1,0,0,0,1,0,1,70.4
6.1,0,3,3,5,13.8,15.0,2.5,5,3.5,1,0,0,0,1,0,1,78.8
3.3,2,2,4,9,6.4,29.0,1.1,9,7.4,4,0,0,1,1,0,1,40.9
6.2,2,2,5,7,10.4,13.0,2.1,9,5.3,2,0,0,0,1,0,1,60.0
6.3,0,4,1,7,8.1,44.0,1.3,1,2.4,1,0,0,0,0,0,1,83.0
9.9,2,3,0,6,7.7,54.0,2.1,5,6.0,2,0,0,0,0,0,1,97.0
5.9,23,3,1,2,5.3,39.0,0.7,9,8.6,3,0,0,1,1,0,0,84.2
6.7,22,1,0,9,8.3,51.0,1.5,7,7.8,1,0,0,0,1,1,0,74.2
6.1,23,3,0,6,5.6,29.0,1.2,6,5.8,3,0,0,0,0,0,0,88.1
4.4,22,1,1,8,4.3,46.0,2.4,6,8.3,3,0,0,1,1,1,0,61.4
7.9,0,3,3,1,8.8,30.0,2.1,7,6.4,2,0,0,0,1,0,1,88.0
7.3,3,4,2,5,6.9,5.0,0.9,1,8.0,4,0,0,0,1,0,1,81.4
7.4,21,2,1,1,12.7,33.0,1.7,4,2.7,1,0,0,0,0,0,0,89.8
4.8,22,1,2,10,11.0,6.0,1.3,1,3.5,2,1,1,1,1,1,0,25.0
8.3,0,1,1,8,12.7,79.0,2.5,6,7.5,2,0,0,0,1,1,1,77.0
4.1,3,2,0,8,6.8,21.0,2.7,4,9.1,2,0,1,1,0,0,1,58.4
7.1,23,2,3,1,8.8,42.0,0.8,1,6.8,1,0,0,0,1,0,0,78.2
9.5,0,1,2,9,2.0,28.0,2.4,9,5.0,2,0,0,0,1,1,1,69.5
4.7,21,3,3,2,7.8,1.0,1.2,4,4.3,1,0,0,1,1,0,0,63.8
5.4,22,3,0,9,8.7,0.0,1.6,6,5.4,1,0,0,1,0,0,0,69.3
6.3,3,2,3,1,8.9,44.0,1.8,7,8.4,1,0,0,0,1,0,1,78.0
5.4,3,4,2,10,8.4,62.0,3.1,8,5.3,3,0,0,1,0,0,1,67.4
3.9,21,1,2,9,8.7,12.0,1.1,9,8.1,0,0,0,1,1,1,0,43.3
6.3,3,4,2,4,2.0,0.0,2.4,9,7.3,3,0,0,0,0,0,1,80.3
4.6,0,2,4,9,9.1,21.0,1.0,8,9.4,1,0,0,1,1,0,1,46.3
6.9,2,4,2,7,9.7,7.0,0.9,10,6.4,0,0,0,0,1,0,1,75.2
4.8,0,3,2,6,11.8,14.0,1.8,3,5.9,1,0,0,1,0,0,1,71.0
8.5,0,3,5,5,9.4,41.0,1.8,2,8.2,1,0,0,0,1,0,1,79.2
5.0,0,4,3,9,8.2,27.0,0.3,5,4.1,2,0,0,1,1,0,1,56.4
5.7,1,2,1,2,11.3,10.0,2.6,1,5.1,2,0,0,1,0,0,1,78.2
7.4,22,4,3,2,2.6,41.0,0.3,3,2.6,5,0,0,0,1,0,0,81.2
4.4,21,2,1,9,7.2,43.0,1.7,1,3.5,5,0,1,1,0,0,0,54.2
6.5,23,2,1,3,6.6,21.0,2.7,3,9.8,2,0,0,0,0,0,0,85.8
8.2,1,2,2,8,8.4,31.0,3.3,4,7.4,3,0,0,0,0,0,1,78.0
3.8,23,3,4,9,3.0,39.0,1.5,7,3.3,0,0,0,1,1,0,0,50.8
6.5,1,2,4,8,11.8,37.0,0.8,5,8.4,2,0,0,0,1,0,1,62.2
6.6,3,3,1,4,7.9,29.0,2.7,5,4.6,3,0,0,0,0,0,1,93.4
7.4,22,3,2,1,9.3,60.0,2.4,1,7.3,1,0,0,0,0,0,0,92.0
4.3,1,3,1,4,9.1,41.0,1.5,8,7.3,0,0,0,1,0,0,1,77.8
4.2,23,3,5,9,11.7,18.0,1.4,4,9.3,1,1,1,1,1,0,0,25.8
7.0,2,2,5,2,3.8,18.0,1.3,10,4.9,2,0,0,0,1,0,1,69.2
6.6,22,2,2,3,8.8,16.0,1.6,5,4.5,2,0,0,0,0,0,0,79.5
6.6,1,2,3,10,11.4,42.0,2.0,2,1.0,2,0,0,0,1,0,1,65.6
6.7,2,2,3,8,8.3,14.0,1.4,1,5.8,2,0,0,0,1,0,1,65.8
5.2,3,1,2,6,6.1,19.0,1.5,9,7.5,2,0,0,1,1,1,1,63.4
6.5,1,2,0,8,7.0,51.0,2.2,2,7.7,3,0,0,0,0,0,1,83.0
6.6,0,2,2,7,7.5,32.0,0.8,6,8.5,1,0,0,0,1,0,1,73.8
5.1,0,4,2,5,6.7,54.0,1.5,1,6.6,3,0,0,1,0,0,1,78.6
9.0,2,3,2,9,8.1,46.0,0.6,1,7.0,3,0,0,0,1,0,1,74.4
6.9,0,2,1,4,12.3,2.0,1.9,9,6.1,3,0,0,0,0,0,1,83.0
4.4,21,3,4,6,7.0,26.0,0.4,4,7.4,3,0,0,1,1,0,0,58.0
7.2,3,1,0,2,7.3,50.0,2.4,9,4.1,2,0,0,0,1,1,1,90.0
4.7,1,2,2,2,9.6,1.0,0.9,5,3.2,1,0,0,1,1,0,1,61.6
7.4,1,3,2,2,8.1,37.0,0.6,7,4.3,2,0,0,0,1,0,1,86.4
7.9,23,3,2,10,5.2,27.0,1.5,1,6.4,5,0,0,0,0,0,0,74.2
5.0,1,2,2,7,8.3,0.0,3.0,6,3.4,2,0,0,1,0,0,1,61.5
7.6,23,4,1,2,8.3,31.0,2.3,8,4.7,0,0,0,0,0,0,0,96.0
6.8,1,4,0,2,10.9,10.0,0.5,1,4.8,0,0,0,0,1,0,1,87.8
7.4,22,3,2,9,6.1,2.0,0.9,9,7.6,5,0,0,0,1,0,0,68.6
9.0,1,3,2,7,11.0,28.0,1.5,3,7.3,0,0,0,0,0,0,1,83.5
5.8,3,3,0,3,8.3,0.0,3.4,1,6.1,0,0,0,1,0,0,1,85.3
5.1,21,2,3,3,5.7,13.0,1.1,1,6.9,2,0,0,1,1,0,0,63.7
4.9,3,2,2,7,5.2,84.0,1.1,6,6.9,5,0,0,1,1,0,1,64.8
5.0,23,1,2,5,13.3,42.0,2.9,6,5.3,1,0,0,1,1,1,0,70.0
6.1,2,3,3,10,8.1,9.0,1.9,1,4.9,2,0,1,0,1,0,1,54.0
6.7,1,3,0,6,10.8,59.0,2.5,3,9.1,2,0,0,0,0,0,1,95.2
6.6,0,2,0,8,4.2,6.0,1.3,7,1.0,0,0,0,0,0,0,1,74.8
7.4,1,4,3,9,15.1,16.0,1.7,10,4.5,4,0,0,0,1,0,1,71.3
6.2,2,4,2,1,10.7,3.0,2.7,3,5.6,2,0,0,0,0,0,1,80.4
8.4,23,3,2,3,7.9,34.0,1.7,3,7.1,2,0,0,0,0,0,0,90.8
5.8,23,3,3,7,7.7,58.0,2.6,3,8.3,4,0,0,1,1,0,0,74.8
10.0,1,4,3,6,10.3,6.0,2.1,7,9.7,5,0,0,0,1,0,1,79.0
7.1,2,1,5,7,10.2,0.0,1.1,4,5.8,2,0,0,0,1,1,1,52.9
4.9,1,3,2,8,9.0,52.0,1.8,4,6.0,1,0,1,1,0,0,1,61.6
4.6,1,1,2,6,8.5,62.0,2.5,3,6.7,3,0,0,1,1,1,1,64.6
6.9,23,3,1,3,9.9,0.0,2.3,10,4.9,2,0,0,0,0,0,0,87.9
5.9,2,2,0,2,4.1,38.0,1.8,9,3.6,4,0,0,1,0,0,1,87.6
7.3,22,4,2,7,7.6,33.0,0.5,2,5.8,4,0,0,0,1,0,0,80.0
6.9,0,4,1,1,4.4,11.0,0.5,4,7.5,1,0,0,0,1,0,1,84.6
6.1,21,1,4,3,10.0,0.0,0.7,8,5.5,5,0,0,0,1,1,0,55.9
4.9,23,3,2,4,6.8,50.0,1.4,6,6.8,2,0,0,1,0,0,0,77.0
3.9,23,4,2,1,4.6,32.0,1.5,7,2.3,2,0,0,1,0,0,0,71.4
5.5,23,3,1,5,6.5,34.0,0.8,7,6.0,0,0,0,1,1,0,0,82.2
7.5,1,4,0,10,8.9,14.0,2.5,2,5.2,4,0,0,0,0,0,1,81.0
6.5,23,3,0,3,8.0,10.0,0.9,4,3.4,2,0,0,0,1,0,0,87.6
4.3,23,2,1,2,5.6,0.0,0.8,10,7.3,2,0,0,1,1,0,0,62.5
6.5,23,2,0,3,4.2,23.0,1.9,10,9.7,4,0,0,0,0,0,0,89.8
6.8,23,2,2,8,8.7,60.0,2.5,6,8.0,2,0,0,0,0,0,0,76.8
4.9,23,3,4,6,7.0,8.0,3.2,3,8.1,2,0,0,1,1,0,0,62.9
6.4,22,2,4,7,7.9,0.0,2.2,9,7.4,4,0,0,0,1,0,0,61.9
6.3,0,3,2,6,8.1,38.0,2.9,4,7.3,3,0,0,0,0,0,1,84.8
4.5,1,3,1,6,9.6,42.0,1.0,10,2.4,4,0,0,1,1,0,1,74.0
6.7,0,3,4,3,10.6,15.0,3.3,2,5.7,4,0,0,0,1,0,1,78.4
7.0,0,4,4,8,8.9,20.0,0.5,6,7.0,2,0,0,0,1,0,1,66.5
7.8,23,4,0,7,7.7,34.0,1.4,1,7.1,2,0,0,0,0,0,0,91.6
7.8,2,2,3,7,8.6,25.0,2.2,6,8.5,1,0,0,0,1,0,1,75.8
4.1,0,3,1,6,7.7,50.0,0.7,10,3.9,3,0,0,1,1,0,1,70.4
4.8,0,3,3,5,4.4,82.0,1.2,1,7.2,2,0,0,1,1,0,1,71.6
7.0,21,3,5,10,11.2,0.0,1.0,8,3.9,3,0,0,0,1,0,0,53.5
7.0,23,4,0,8,10.8,55.0,1.6,5,5.6,1,0,0,0,0,0,0,89.4
7.0,23,2,4,5,13.5,30.0,2.8,6,5.9,1,0,0,0,1,0,0,79.0
10.0,23,1,2,9,14.2,59.0,1.8,2,7.7,1,0,0,0,1,1,0,69.2
7.1,0,4,5,9,5.6,44.0,1.5,2,7.5,0,0,0,0,1,0,1,66.0
7.9,0,2,2,1,7.7,29.0,0.3,9,6.2,2,0,0,0,1,0,1,80.0
7.6,0,3,3,6,14.8,45.0,2.1,3,1.7,1,0,0,0,1,0,1,85.0
7.2,1,4,0,7,8.4,19.0,2.4,6,6.9,1,0,0,0,0,0,1,91.2
5.7,2,1,1,3,9.1,11.0,0.6,10,5.5,0,0,0,1,1,1,1,67.9
7.3,1,4,0,7,4.7,46.0,1.8,5,8.8,3,0,0,0,0,0,1,93.2
5.0,3,2,5,7,8.9,9.0,1.9,4,8.3,3,0,0,1,1,0,1,51.4
5.8,21,3,3,2,13.3,42.0,2.5,10,4.1,1,0,0,1,1,0,0,80.8
5.5,22,3,4,7,11.7,29.0,1.3,2,7.2,3,0,0,1,1,0,0,66.0
6.3,21,4,4,1,7.0,0.0,1.2,8,7.2,2,0,0,0,1,0,0,69.1
9.7,0,1,0,5,7.5,15.0,1.5,10,7.1,1,0,0,0,1,1,1,84.2
3.4,2,3,1,9,5.7,35.0,2.7,7,6.8,2,0,0,1,0,0,1,62.4
7.2,23,3,0,7,6.4,19.0,2.5,2,7.3,1,0,0,0,0,0,0,91.2
3.8,3,3,1,7,3.7,0.0,1.8,6,9.0,3,0,0,1,0,0,1,62.5
5.5,22,3,1,2,8.3,57.0,2.5,8,4.9,0,0,0,1,0,0,0,87.0
7.8,3,1,2,8,12.3,32.0,0.3,7,4.2,5,0,0,0,1,1,1,66.2
6.3,23,2,1,3,9.4,38.0,2.4,1,7.6,0,0,0,0,0,0,0,86.8
4.6,22,2,0,8,11.9,18.0,1.0,5,2.2,2,1,0,1,1,0,0,52.6
5.1,0,3,0,3,11.2,40.0,3.0,2,7.3,4,0,0,1,0,0,1,88.6
7.2,23,2,0,10,7.1,68.0,1.1,6,7.0,0,0,0,0,1,0,0,76.4
5.1,23,2,5,7,6.6,12.0,1.2,7,1.3,2,0,0,1,1,0,0,49.9
6.5,23,4,3,2,6.7,65.0,2.2,7,4.7,2,0,0,0,1,0,0,85.0
6.3,2,1,5,4,4.2,37.0,2.3,3,9.2,2,0,0,0,1,1,1,65.8
5.2,0,4,1,6,8.6,9.0,1.5,7,3.1,1,0,0,1,0,0,1,75.0
9.4,23,3,1,9,2.0,77.0,2.1,5,6.4,0,0,0,0,0,0,0,84.0
7.2,0,3,3,5,10.0,37.0,2.1,8,4.0,2,0,0,0,1,0,1,88.0
3.2,1,2,1,9,8.7,43.0,2.1,8,4.6,2,0,0,1,0,0,1,56.2
6.5,23,1,1,5,9.7,22.0,1.5,7,9.8,2,0,0,0,1,1,0,79.0
5.2,23,3,1,10,11.1,10.0,2.2,6,6.2,1,1,0,1,0,0,0,53.2
7.5,22,3,0,8,9.0,32.0,2.8,2,7.0,1,0,0,0,0,0,0,91.0
5.0,22,3,1,1,12.6,63.0,0.9,6,5.8,2,0,0,1,1,0,0,79.6
6.0,1,1,1,7,10.1,21.0,1.2,9,3.0,2,0,0,0,1,1,1,68.6
7.0,22,3,2,4,6.6,27.0,1.8,2,3.6,2,0,0,0,0,0,0,90.4
7.5,0,3,0,5,7.9,60.0,1.1,1,8.4,1,0,0,0,1,0,1,96.4
4.4,1,3,1,6,2.8,21.0,0.5,5,6.3,1,0,0,1,1,0,1,69.2
5.7,22,3,3,5,6.2,39.0,2.6,6,4.5,1,0,0,1,1,0,0,80.2
5.5,0,3,0,1,7.5,47.0,0.3,3,6.0,1,0,0,1,1,0,1,84.2
5.2,23,3,1,9,9.9,24.0,1.5,8,7.3,1,0,0,1,0,0,0,69.7
8.8,3,1,4,2,6.6,35.0,2.3,7,6.9,2,0,0,0,1,1,1,74.0
6.8,0,3,0,9,5.4,43.0,2.0,2,4.5,2,0,0,0,0,0,1,86.8
4.3,2,1,0,10,3.8,19.0,1.5,7,2.8,2,0,0,1,1,1,1,54.0
7.6,0,2,2,2,7.0,46.0,1.0,1,5.2,1,0,0,0,1,0,1,83.0
9.4,21,2,1,9,13.4,16.0,2.0,9,8.2,1,0,0,0,0,0,0,75.5
7.7,0,1,2,6,9.2,13.0,1.1,7,7.7,2,0,0,0,1,1,1,71.2
3.9,3,2,3,9,10.8,0.0,2.0,6,6.8,4,1,0,1,1,0,1,32.9
5.5,0,1,0,6,6.2,17.0,1.9,2,5.7,3,0,0,1,1,1,1,74.4
8.1,2,3,2,6,4.6,10.0,1.9,3,5.0,3,0,0,0,0,0,1,83.6
5.1,2,4,2,2,5.4,19.0,1.4,1,5.7,3,0,0,1,0,0,1,75.4
6.9,23,1,0,8,8.3,41.0,3.2,10,7.6,2,0,0,0,1,1,0,80.4
7.4,23,4,2,3,3.5,0.0,2.1,5,8.0,0,0,0,0,0,0,0,84.5
4.8,0,3,1,7,6.0,0.0,1.6,9,5.5,2,0,0,1,0,0,1,67.7
6.1,23,2,2,5,7.0,12.0,2.0,6,11.1,1,0,0,0,0,0,0,77.1
2.0,2,1,0,3,5.2,38.0,1.3,5,6.2,2,0,0,1,1,1,1,57.2
4.7,2,3,2,1,3.2,34.0,1.5,3,5.3,3,0,0,1,0,0,1,76.2
5.8,23,3,1,8,9.2,11.0,3.5,5,9.0,3,0,0,1,0,0,0,75.0
4.3,23,3,3,3,8.6,54.0,1.3,8,1.9,1,0,0,1,1,0,0,69.0
8.6,1,1,0,2,10.4,14.0,1.7,2,7.0,2,0,0,0,1,1,1,84.8
4.1,23,1,1,1,5.7,38.0,1.5,5,5.9,2,0,0,1,1,1,0,66.6
5.5,2,2,2,4,10.4,20.0,1.1,6,8.9,3,0,0,1,1,0,1,71.9
6.4,23,2,3,8,12.3,9.0,2.1,10,7.2,3,0,0,0,1,0,0,65.2
8.4,1,2,2,3,9.2,15.0,1.8,8,6.3,5,0,0,0,0,0,1,82.4
4.0,22,2,2,1,7.0,44.0,2.4,8,7.3,0,0,0,1,0,0,0,69.0
7.9,0,3,3,4,8.9,36.0,2.4,5,3.9,2,0,0,0,1,0,1,88.0
6.2,0,4,4,9,6.9,49.0,2.4,9,7.9,1,0,0,0,1,0,1,67.2
4.7,0,2,1,1,6.4,36.0,1.2,4,3.3,1,0,0,1,0,0,1,74.0
6.9,22,4,2,2,10.2,0.0,2.2,9,6.7,4,0,0,0,0,0,0,83.9
6.5,1,2,3,9,8.2,75.0,2.3,7,6.1,5,0,0,0,1,0,1,68.0
5.3,2,3,5,2,11.5,36.0,1.1,6,2.5,1,0,0,1,1,0,1,66.2
6.3,23,2,4,3,7.4,39.0,1.6,4,6.1,0,0,0,0,1,0,0,73.2
5.6,22,3,1,7,7.6,20.0,0.8,2,6.6,1,0,0,1,1,0,0,74.3
6.4,21,4,0,3,7.1,52.0,2.3,8,4.7,3,0,0,0,0,0,0,96.4
7.2,0,3,2,9,5.7,4.0,2.3,6,4.0,1,0,0,0,0,0,1,73.5
8.6,0,2,3,6,10.5,41.0,2.8,3,7.0,0,0,0,0,1,0,1,80.0
4.3,0,3,2,3,14.0,0.0,1.6,7,6.7,0,0,0,1,0,0,1,66.7
9.4,23,1,2,9,7.5,43.0,2.1,10,6.5,2,0,0,0,1,1,0,70.0
3.3,23,4,3,1,6.8,4.0,2.5,7,6.0,4,0,0,1,1,0,0,59.3
